student_id,station,station_name,domain,examiner,score,max_score,attempt
S007,ST5,Data interpretation,Cognitive,EX09,4,20,1
S008,ST1,History taking,Communication,EX11,9,20,1
S008,ST2,Clinical examination,Clinical skill,EX07,7,20,1
S008,ST3,Procedure: IV access,Procedural skill,EX08,5,20,1
S008,ST4,Counselling,Communication,EX03,7,20,1
S008,ST5,Data interpretation,Cognitive,EX06,8,20,1
S009,ST1,History taking,Communication,EX08,6,20,1
S009,ST2,Clinical examination,Clinical skill,EX07,10,20,1
S009,ST3,Procedure: IV access,Procedural skill,EX02,5,20,1
S009,ST4,Counselling,Communication,EX03,9,20,1
S009,ST5,Data interpretation,Cognitive,EX02,9,20,1
S010,ST1,History taking,Communication,EX12,9,20,1
S010,ST2,Clinical examination,Clinical skill,EX01,9,20,1
S010,ST3,Procedure: IV access,Procedural skill,EX12,3,20,1
S010,ST4,Counselling,Communication,EX10,8,20,1
S010,ST5,Data interpretation,Cognitive,EX11,8,20,1
S011,ST1,History taking,Communication,EX04,9,20,1
S011,ST2,Clinical examination,Clinical skill,EX08,4,20,1
S011,ST3,Procedure: IV access,Procedural skill,EX11,9,20,1
S011,ST4,Counselling,Communication,EX12,7,20,1
S011,ST5,Data interpretation,Cognitive,EX06,3,20,1
S012,ST1,History taking,Communication,EX06,9,20,1
S012,ST2,Clinical examination,Clinical skill,EX03,6,20,1
S012,ST3,Procedure: IV access,Procedural skill,EX11,6,20,1
S012,ST4,Counselling,Communication,EX09,10,20,1
S012,ST5,Data interpretation,Cognitive,EX04,9,20,1
S013,ST1,History taking,Communication,EX11,12,20,1
S013,ST2,Clinical examination,Clinical skill,EX09,7,20,1
S013,ST3,Procedure: IV access,Procedural skill,EX04,7,20,1
S013,ST4,Counselling,Communication,EX10,10,20,1
S013,ST5,Data interpretation,Cognitive,EX05,6,20,1
S014,ST1,History taking,Communication,EX07,11,20,1
S014,ST2,Clinical examination,Clinical skill,EX06,12,20,1
S014,ST3,Procedure: IV access,Procedural skill,EX10,3,20,1
S014,ST4,Counselling,Communication,EX09,8,20,1
S014,ST5,Data interpretation,Cognitive,EX12,6,20,1
S015,ST1,History taking,Communication,EX05,11,20,1
S015,ST2,Clinical examination,Clinical skill,EX04,8,20,1
S015,ST3,Procedure: IV access,Procedural skill,EX01,7,20,1
S015,ST4,Counselling,Communication,EX07,10,20,1
S015,ST5,Data interpretation,Cognitive,EX12,11,20,1
S016,ST1,History taking,Communication,EX02,7,20,1
S016,ST2,Clinical examination,Clinical skill,EX07,9,20,1
S016,ST3,Procedure: IV access,Procedural skill,EX12,7,20,1
S016,ST4,Counselling,Communication,EX05,8,20,1
S016,ST5,Data interpretation,Cognitive,EX08,8,20,1
S017,ST1,History taking,Communication,EX04,6,20,1
S017,ST2,Clinical examination,Clinical skill,EX01,11,20,1
S017,ST3,Procedure: IV access,Procedural skill,EX08,8,20,1
S017,ST4,Counselling,Communication,EX03,3,20,1
S017,ST5,Data interpretation,Cognitive,EX02,6,20,1
S018,ST1,History taking,Communication,EX05,11,20,1
S018,ST2,Clinical examination,Clinical skill,EX01,10,20,1
S018,ST3,Procedure: IV access,Procedural skill,EX02,8,20,1
S018,ST4,Counselling,Communication,EX07,7,20,1
S018,ST5,Data interpretation,Cognitive,EX08,4,20,1
S019,ST1,History taking,Communication,EX01,8,20,1
S019,ST2,Clinical examination,Clinical skill,EX12,7,20,1
S019,ST3,Procedure: IV access,Procedural skill,EX01,7,20,1
S019,ST4,Counselling,Communication,EX01,10,20,1
S019,ST5,Data interpretation,Cognitive,EX08,14,20,1
S020,ST1,History taking,Communication,EX06,4,20,1
S020,ST2,Clinical examination,Clinical skill,EX05,8,20,1
S020,ST3,Procedure: IV access,Procedural skill,EX05,6,20,1
S020,ST4,Counselling,Communication,EX12,8,20,1
S020,ST5,Data interpretation,Cognitive,EX05,2,20,1
S021,ST1,History taking,Communication,EX11,7,20,1
S021,ST2,Clinical examination,Clinical skill,EX09,9,20,1
S021,ST3,Procedure: IV access,Procedural skill,EX01,1,20,1
S021,ST4,Counselling,Communication,EX05,6,20,1
S021,ST5,Data interpretation,Cognitive,EX09,4,20,1
S022,ST1,History taking,Communication,EX10,8,20,1
S022,ST2,Clinical examination,Clinical skill,EX04,5,20,1
S022,ST3,Procedure: IV access,Procedural skill,EX09,3,20,1
S022,ST4,Counselling,Communication,EX01,4,20,1
S022,ST5,Data interpretation,Cognitive,EX04,3,20,1
S023,ST1,History taking,Communication,EX04,6,20,1
S023,ST2,Clinical examination,Clinical skill,EX08,12,20,1
S023,ST3,Procedure: IV access,Procedural skill,EX11,5,20,1
S023,ST4,Counselling,Communication,EX07,8,20,1
S023,ST5,Data interpretation,Cognitive,EX02,5,20,1
S024,ST1,History taking,Communication,EX01,4,20,1
S024,ST2,Clinical examination,Clinical skill,EX09,8,20,1
S024,ST3,Procedure: IV access,Procedural skill,EX03,2,20,1
S024,ST4,Counselling,Communication,EX07,8,20,1
S024,ST5,Data interpretation,Cognitive,EX07,6,20,1
S025,ST1,History taking,Communication,EX07,11,20,1
S025,ST2,Clinical examination,Clinical skill,EX11,8,20,1
S025,ST3,Procedure: IV access,Procedural skill,EX12,12,20,1
S025,ST4,Counselling,Communication,EX05,9,20,1
S025,ST5,Data interpretation,Cognitive,EX06,7,20,1
S026,ST1,History taking,Communication,EX05,6,20,1
S026,ST2,Clinical examination,Clinical skill,EX07,11,20,1
S026,ST3,Procedure: IV access,Procedural skill,EX06,8,20,1
S026,ST4,Counselling,Communication,EX07,7,20,1
S026,ST5,Data interpretation,Cognitive,EX07,8,20,1
S027,ST1,History taking,Communication,EX07,12,20,1
S027,ST2,Clinical examination,Clinical skill,EX11,7,20,1
S027,ST3,Procedure: IV access,Procedural skill,EX11,5,20,1
S027,ST4,Counselling,Communication,EX09,10,20,1
S027,ST5,Data interpretation,Cognitive,EX10,8,20,1
S028,ST1,History taking,Communication,EX06,10,20,1
S028,ST2,Clinical examination,Clinical skill,EX07,8,20,1
S028,ST3,Procedure: IV access,Procedural skill,EX02,5,20,1
S028,ST4,Counselling,Communication,EX04,8,20,1
S028,ST5,Data interpretation,Cognitive,EX06,6,20,1
S029,ST1,History taking,Communication,EX09,6,20,1
S029,ST2,Clinical examination,Clinical skill,EX11,5,20,1
S029,ST3,Procedure: IV access,Procedural skill,EX01,5,20,1
S029,ST4,Counselling,Communication,EX01,9,20,1
S029,ST5,Data interpretation,Cognitive,EX07,6,20,1
S030,ST1,History taking,Communication,EX11,9,20,1
S030,ST2,Clinical examination,Clinical skill,EX02,7,20,1
S030,ST3,Procedure: IV access,Procedural skill,EX03,4,20,1
S030,ST4,Counselling,Communication,EX05,10,20,1
S030,ST5,Data interpretation,Cognitive,EX02,6,20,1
S031,ST1,History taking,Communication,EX08,8,20,1
S031,ST2,Clinical examination,Clinical skill,EX09,8,20,1
S031,ST3,Procedure: IV access,Procedural skill,EX12,7,20,1
S031,ST4,Counselling,Communication,EX01,6,20,1
S031,ST5,Data interpretation,Cognitive,EX11,3,20,1
S032,ST1,History taking,Communication,EX05,10,20,1
S032,ST2,Clinical examination,Clinical skill,EX01,6,20,1
S032,ST3,Procedure: IV access,Procedural skill,EX05,5,20,1
S032,ST4,Counselling,Communication,EX04,11,20,1
S032,ST5,Data interpretation,Cognitive,EX09,8,20,1
S033,ST1,History taking,Communication,EX11,2,20,1
S033,ST2,Clinical examination,Clinical skill,EX04,8,20,1
S033,ST3,Procedure: IV access,Procedural skill,EX05,7,20,1
S033,ST4,Counselling,Communication,EX08,2,20,1
S033,ST5,Data interpretation,Cognitive,EX10,3,20,1
S034,ST1,History taking,Communication,EX12,4,20,1
S034,ST2,Clinical examination,Clinical skill,EX01,7,20,1
S034,ST3,Procedure: IV access,Procedural skill,EX02,6,20,1
S034,ST4,Counselling,Communication,EX06,4,20,1
S034,ST5,Data interpretation,Cognitive,EX02,7,20,1
S035,ST1,History taking,Communication,EX05,8,20,1
S035,ST2,Clinical examination,Clinical skill,EX05,8,20,1
S035,ST3,Procedure: IV access,Procedural skill,EX03,4,20,1
S035,ST4,Counselling,Communication,EX01,9,20,1
S035,ST5,Data interpretation,Cognitive,EX05,7,20,1
S036,ST1,History taking,Communication,EX06,7,20,1
S036,ST2,Clinical examination,Clinical skill,EX06,9,20,1
S036,ST3,Procedure: IV access,Procedural skill,EX01,5,20,1
S036,ST4,Counselling,Communication,EX11,9,20,1
S036,ST5,Data interpretation,Cognitive,EX04,13,20,1
S037,ST1,History taking,Communication,EX12,8,20,1
S037,ST2,Clinical examination,Clinical skill,EX01,12,20,1
S037,ST3,Procedure: IV access,Procedural skill,EX06,6,20,1
S037,ST4,Counselling,Communication,EX06,9,20,1
S037,ST5,Data interpretation,Cognitive,EX06,10,20,1
S038,ST1,History taking,Communication,EX04,12,20,1
S038,ST2,Clinical examination,Clinical skill,EX07,9,20,1
S038,ST3,Procedure: IV access,Procedural skill,EX08,8,20,1
S038,ST4,Counselling,Communication,EX11,13,20,1
S038,ST5,Data interpretation,Cognitive,EX05,8,20,1
S039,ST1,History taking,Communication,EX10,16,20,1
S039,ST2,Clinical examination,Clinical skill,EX02,14,20,1
S039,ST3,Procedure: IV access,Procedural skill,EX01,10,20,1
S039,ST4,Counselling,Communication,EX09,10,20,1
S039,ST5,Data interpretation,Cognitive,EX01,5,20,1
S040,ST1,History taking,Communication,EX07,13,20,1
S040,ST2,Clinical examination,Clinical skill,EX03,6,20,1
S040,ST3,Procedure: IV access,Procedural skill,EX10,7,20,1
S040,ST4,Counselling,Communication,EX06,6,20,1
S040,ST5,Data interpretation,Cognitive,EX02,6,20,1
S041,ST1,History taking,Communication,EX01,10,20,1
S041,ST2,Clinical examination,Clinical skill,EX02,6,20,1
S041,ST3,Procedure: IV access,Procedural skill,EX07,5,20,1
S041,ST4,Counselling,Communication,EX07,11,20,1
S041,ST5,Data interpretation,Cognitive,EX06,5,20,1
S042,ST1,History taking,Communication,EX06,5,20,1
S042,ST2,Clinical examination,Clinical skill,EX08,13,20,1
S042,ST3,Procedure: IV access,Procedural skill,EX12,3,20,1
S042,ST4,Counselling,Communication,EX05,10,20,1
S042,ST5,Data interpretation,Cognitive,EX12,4,20,1
S043,ST1,History taking,Communication,EX06,13,20,1
S043,ST2,Clinical examination,Clinical skill,EX11,7,20,1
S043,ST3,Procedure: IV access,Procedural skill,EX09,4,20,1
S043,ST4,Counselling,Communication,EX05,14,20,1
S043,ST5,Data interpretation,Cognitive,EX11,9,20,1
S044,ST1,History taking,Communication,EX02,9,20,1
S044,ST2,Clinical examination,Clinical skill,EX03,6,20,1
S044,ST3,Procedure: IV access,Procedural skill,EX02,5,20,1
S044,ST4,Counselling,Communication,EX05,9,20,1
S044,ST5,Data interpretation,Cognitive,EX07,7,20,1
S045,ST1,History taking,Communication,EX01,6,20,1
S045,ST2,Clinical examination,Clinical skill,EX04,8,20,1
S045,ST3,Procedure: IV access,Procedural skill,EX01,6,20,1
S045,ST4,Counselling,Communication,EX02,10,20,1
S045,ST5,Data interpretation,Cognitive,EX08,10,20,1
S046,ST1,History taking,Communication,EX03,8,20,1
S046,ST2,Clinical examination,Clinical skill,EX08,5,20,1
S046,ST3,Procedure: IV access,Procedural skill,EX04,1,20,1
S046,ST4,Counselling,Communication,EX06,6,20,1
S046,ST5,Data interpretation,Cognitive,EX06,4,20,1
S047,ST1,History taking,Communication,EX09,10,20,1
S047,ST2,Clinical examination,Clinical skill,EX06,6,20,1
S047,ST3,Procedure: IV access,Procedural skill,EX06,0,20,1
S047,ST4,Counselling,Communication,EX11,8,20,1
S047,ST5,Data interpretation,Cognitive,EX09,7,20,1
S048,ST1,History taking,Communication,EX12,11,20,1
S048,ST2,Clinical examination,Clinical skill,EX09,9,20,1
S048,ST3,Procedure: IV access,Procedural skill,EX11,7,20,1
S048,ST4,Counselling,Communication,EX07,9,20,1
S048,ST5,Data interpretation,Cognitive,EX04,9,20,1
S049,ST1,History taking,Communication,EX07,10,20,1
S049,ST2,Clinical examination,Clinical skill,EX09,10,20,1
S049,ST3,Procedure: IV access,Procedural skill,EX02,9,20,1
S049,ST4,Counselling,Communication,EX08,7,20,1
S049,ST5,Data interpretation,Cognitive,EX08,3,20,1
S050,ST1,History taking,Communication,EX06,8,20,1
S050,ST2,Clinical examination,Clinical skill,EX10,9,20,1
S050,ST3,Procedure: IV access,Procedural skill,EX04,8,20,1
S050,ST4,Counselling,Communication,EX02,8,20,1
S050,ST5,Data interpretation,Cognitive,EX09,9,20,1
S051,ST1,History taking,Communication,EX06,12,20,1
S051,ST2,Clinical examination,Clinical skill,EX01,11,20,1
S051,ST3,Procedure: IV access,Procedural skill,EX03,9,20,1
S051,ST4,Counselling,Communication,EX04,9,20,1
S051,ST5,Data interpretation,Cognitive,EX09,9,20,1
S052,ST1,History taking,Communication,EX04,12,20,1
S052,ST2,Clinical examination,Clinical skill,EX05,9,20,1
S052,ST3,Procedure: IV access,Procedural skill,EX03,5,20,1
S052,ST4,Counselling,Communication,EX08,7,20,1
S052,ST5,Data interpretation,Cognitive,EX05,7,20,1
S053,ST1,History taking,Communication,EX05,7,20,1
S053,ST2,Clinical examination,Clinical skill,EX03,10,20,1
S053,ST3,Procedure: IV access,Procedural skill,EX06,8,20,1
S053,ST4,Counselling,Communication,EX06,8,20,1
S053,ST5,Data interpretation,Cognitive,EX06,6,20,1
S054,ST1,History taking,Communication,EX01,7,20,1
S054,ST2,Clinical examination,Clinical skill,EX03,10,20,1
S054,ST3,Procedure: IV access,Procedural skill,EX04,4,20,1
S054,ST4,Counselling,Communication,EX02,7,20,1
S054,ST5,Data interpretation,Cognitive,EX12,5,20,1
S055,ST1,History taking,Communication,EX10,6,20,1
S055,ST2,Clinical examination,Clinical skill,EX08,11,20,1
S055,ST3,Procedure: IV access,Procedural skill,EX10,5,20,1
S055,ST4,Counselling,Communication,EX07,8,20,1
S055,ST5,Data interpretation,Cognitive,EX10,9,20,1
S056,ST1,History taking,Communication,EX01,8,20,1
S056,ST2,Clinical examination,Clinical skill,EX02,10,20,1
S056,ST3,Procedure: IV access,Procedural skill,EX02,7,20,1
S056,ST4,Counselling,Communication,EX06,10,20,1
S056,ST5,Data interpretation,Cognitive,EX02,11,20,1
S057,ST1,History taking,Communication,EX06,7,20,1
S057,ST2,Clinical examination,Clinical skill,EX08,10,20,1
S057,ST3,Procedure: IV access,Procedural skill,EX09,5,20,1
S057,ST4,Counselling,Communication,EX01,6,20,1
S057,ST5,Data interpretation,Cognitive,EX01,4,20,1
S058,ST1,History taking,Communication,EX04,5,20,1
S058,ST2,Clinical examination,Clinical skill,EX12,8,20,1
S058,ST3,Procedure: IV access,Procedural skill,EX06,4,20,1
S058,ST4,Counselling,Communication,EX05,6,20,1
S058,ST5,Data interpretation,Cognitive,EX01,9,20,1
S059,ST1,History taking,Communication,EX01,10,20,1
S059,ST2,Clinical examination,Clinical skill,EX09,7,20,1
S059,ST3,Procedure: IV access,Procedural skill,EX06,5,20,1
S059,ST4,Counselling,Communication,EX07,7,20,1
S059,ST5,Data interpretation,Cognitive,EX11,3,20,1
S060,ST1,History taking,Communication,EX05,11,20,1
S060,ST2,Clinical examination,Clinical skill,EX06,11,20,1
S060,ST3,Procedure: IV access,Procedural skill,EX07,6,20,1
S060,ST4,Counselling,Communication,EX09,12,20,1
S060,ST5,Data interpretation,Cognitive,EX12,5,20,1
S061,ST1,History taking,Communication,EX06,13,20,1
S061,ST2,Clinical examination,Clinical skill,EX02,9,20,1
S061,ST3,Procedure: IV access,Procedural skill,EX02,9,20,1
S061,ST4,Counselling,Communication,EX08,9,20,1
S061,ST5,Data interpretation,Cognitive,EX07,6,20,1
S062,ST1,History taking,Communication,EX05,6,20,1
S062,ST2,Clinical examination,Clinical skill,EX08,5,20,1
S062,ST3,Procedure: IV access,Procedural skill,EX02,0,20,1
S062,ST4,Counselling,Communication,EX01,6,20,1
S062,ST5,Data interpretation,Cognitive,EX03,9,20,1
S063,ST1,History taking,Communication,EX10,9,20,1
S063,ST2,Clinical examination,Clinical skill,EX02,11,20,1
S063,ST3,Procedure: IV access,Procedural skill,EX06,6,20,1
S063,ST4,Counselling,Communication,EX01,12,20,1
S063,ST5,Data interpretation,Cognitive,EX12,7,20,1
S064,ST1,History taking,Communication,EX09,13,20,1
S064,ST2,Clinical examination,Clinical skill,EX09,10,20,1
S064,ST3,Procedure: IV access,Procedural skill,EX02,5,20,1
S064,ST4,Counselling,Communication,EX12,9,20,1
S064,ST5,Data interpretation,Cognitive,EX05,2,20,1
S065,ST1,History taking,Communication,EX09,10,20,1
S065,ST2,Clinical examination,Clinical skill,EX05,11,20,1
S065,ST3,Procedure: IV access,Procedural skill,EX08,7,20,1
S065,ST4,Counselling,Communication,EX09,9,20,1
S065,ST5,Data interpretation,Cognitive,EX01,9,20,1
S066,ST1,History taking,Communication,EX05,11,20,1
S066,ST2,Clinical examination,Clinical skill,EX09,11,20,1
S066,ST3,Procedure: IV access,Procedural skill,EX05,4,20,1
S066,ST4,Counselling,Communication,EX08,11,20,1
S066,ST5,Data interpretation,Cognitive,EX04,10,20,1
S067,ST1,History taking,Communication,EX06,10,20,1
S067,ST2,Clinical examination,Clinical skill,EX08,6,20,1
S067,ST3,Procedure: IV access,Procedural skill,EX06,7,20,1
S067,ST4,Counselling,Communication,EX01,9,20,1
S067,ST5,Data interpretation,Cognitive,EX09,9,20,1
S068,ST1,History taking,Communication,EX10,5,20,1
S068,ST2,Clinical examination,Clinical skill,EX11,4,20,1
S068,ST3,Procedure: IV access,Procedural skill,EX08,5,20,1
S068,ST4,Counselling,Communication,EX11,7,20,1
S068,ST5,Data interpretation,Cognitive,EX12,6,20,1
S069,ST1,History taking,Communication,EX02,5,20,1
S069,ST2,Clinical examination,Clinical skill,EX01,9,20,1
S069,ST3,Procedure: IV access,Procedural skill,EX10,6,20,1
S069,ST4,Counselling,Communication,EX06,9,20,1
S069,ST5,Data interpretation,Cognitive,EX05,8,20,1
S070,ST1,History taking,Communication,EX04,7,20,1
S070,ST2,Clinical examination,Clinical skill,EX07,6,20,1
S070,ST3,Procedure: IV access,Procedural skill,EX12,5,20,1
S070,ST4,Counselling,Communication,EX09,4,20,1
S070,ST5,Data interpretation,Cognitive,EX01,4,20,1
S071,ST1,History taking,Communication,EX08,12,20,1
S071,ST2,Clinical examination,Clinical skill,EX01,10,20,1
S071,ST3,Procedure: IV access,Procedural skill,EX10,6,20,1
S071,ST4,Counselling,Communication,EX10,12,20,1
S071,ST5,Data interpretation,Cognitive,EX01,4,20,1
S072,ST1,History taking,Communication,EX07,8,20,1
S072,ST2,Clinical examination,Clinical skill,EX08,9,20,1
S072,ST3,Procedure: IV access,Procedural skill,EX01,0,20,1
S072,ST4,Counselling,Communication,EX08,5,20,1
S072,ST5,Data interpretation,Cognitive,EX12,7,20,1
S073,ST1,History taking,Communication,EX06,7,20,1
S073,ST2,Clinical examination,Clinical skill,EX11,11,20,1
S073,ST3,Procedure: IV access,Procedural skill,EX06,8,20,1
S073,ST4,Counselling,Communication,EX02,8,20,1
S073,ST5,Data interpretation,Cognitive,EX02,12,20,1
S074,ST1,History taking,Communication,EX07,4,20,1
S074,ST2,Clinical examination,Clinical skill,EX01,6,20,1
S074,ST3,Procedure: IV access,Procedural skill,EX05,5,20,1
S074,ST4,Counselling,Communication,EX07,5,20,1
S074,ST5,Data interpretation,Cognitive,EX04,8,20,1
S075,ST1,History taking,Communication,EX10,8,20,1
S075,ST2,Clinical examination,Clinical skill,EX12,10,20,1
S075,ST3,Procedure: IV access,Procedural skill,EX09,1,20,1
S075,ST4,Counselling,Communication,EX03,9,20,1
S075,ST5,Data interpretation,Cognitive,EX02,7,20,1
S076,ST1,History taking,Communication,EX07,10,20,1
S076,ST2,Clinical examination,Clinical skill,EX07,7,20,1
S076,ST3,Procedure: IV access,Procedural skill,EX05,6,20,1
S076,ST4,Counselling,Communication,EX03,7,20,1
S076,ST5,Data interpretation,Cognitive,EX03,10,20,1
S077,ST1,History taking,Communication,EX09,3,20,1
S077,ST2,Clinical examination,Clinical skill,EX01,8,20,1
S077,ST3,Procedure: IV access,Procedural skill,EX02,6,20,1
S077,ST4,Counselling,Communication,EX09,9,20,1
S077,ST5,Data interpretation,Cognitive,EX04,11,20,1
S078,ST1,History taking,Communication,EX03,10,20,1
S078,ST2,Clinical examination,Clinical skill,EX01,10,20,1
S078,ST3,Procedure: IV access,Procedural skill,EX09,2,20,1
S078,ST4,Counselling,Communication,EX07,9,20,1
S078,ST5,Data interpretation,Cognitive,EX01,5,20,1
S079,ST1,History taking,Communication,EX09,9,20,1
S079,ST2,Clinical examination,Clinical skill,EX10,9,20,1
S079,ST3,Procedure: IV access,Procedural skill,EX04,5,20,1
S079,ST4,Counselling,Communication,EX05,10,20,1
S079,ST5,Data interpretation,Cognitive,EX11,2,20,1
S080,ST1,History taking,Communication,EX02,9,20,1
S080,ST2,Clinical examination,Clinical skill,EX01,7,20,1
S080,ST3,Procedure: IV access,Procedural skill,EX01,6,20,1
S080,ST4,Counselling,Communication,EX04,6,20,1
S080,ST5,Data interpretation,Cognitive,EX03,5,20,1
S081,ST1,History taking,Communication,EX07,8,20,1
S081,ST2,Clinical examination,Clinical skill,EX06,9,20,1
S081,ST3,Procedure: IV access,Procedural skill,EX02,6,20,1
S081,ST4,Counselling,Communication,EX12,11,20,1
S081,ST5,Data interpretation,Cognitive,EX11,5,20,1
S082,ST1,History taking,Communication,EX03,12,20,1
S082,ST2,Clinical examination,Clinical skill,EX06,9,20,1
S082,ST3,Procedure: IV access,Procedural skill,EX02,9,20,1
S082,ST4,Counselling,Communication,EX04,11,20,1
S082,ST5,Data interpretation,Cognitive,EX06,9,20,1
S083,ST1,History taking,Communication,EX04,12,20,1
S083,ST2,Clinical examination,Clinical skill,EX03,11,20,1
S083,ST3,Procedure: IV access,Procedural skill,EX01,6,20,1
S083,ST4,Counselling,Communication,EX05,10,20,1
S083,ST5,Data interpretation,Cognitive,EX09,11,20,1
S084,ST1,History taking,Communication,EX09,6,20,1
S084,ST2,Clinical examination,Clinical skill,EX10,5,20,1
S084,ST3,Procedure: IV access,Procedural skill,EX02,6,20,1
S084,ST4,Counselling,Communication,EX04,9,20,1
S084,ST5,Data interpretation,Cognitive,EX01,8,20,1
S085,ST1,History taking,Communication,EX03,5,20,1
S085,ST2,Clinical examination,Clinical skill,EX06,6,20,1
S085,ST3,Procedure: IV access,Procedural skill,EX08,6,20,1
S085,ST4,Counselling,Communication,EX08,7,20,1
S085,ST5,Data interpretation,Cognitive,EX03,6,20,1
S086,ST1,History taking,Communication,EX09,7,20,1
S086,ST2,Clinical examination,Clinical skill,EX10,9,20,1
S086,ST3,Procedure: IV access,Procedural skill,EX03,3,20,1
S086,ST4,Counselling,Communication,EX04,7,20,1
S086,ST5,Data interpretation,Cognitive,EX07,3,20,1
S087,ST1,History taking,Communication,EX09,11,20,1
S087,ST2,Clinical examination,Clinical skill,EX08,9,20,1
S087,ST3,Procedure: IV access,Procedural skill,EX07,4,20,1
S087,ST4,Counselling,Communication,EX04,12,20,1
S087,ST5,Data interpretation,Cognitive,EX07,8,20,1
S088,ST1,History taking,Communication,EX01,9,20,1
S088,ST2,Clinical examination,Clinical skill,EX09,10,20,1
S088,ST3,Procedure: IV access,Procedural skill,EX11,4,20,1
S088,ST4,Counselling,Communication,EX02,10,20,1
S088,ST5,Data interpretation,Cognitive,EX10,12,20,1
S089,ST1,History taking,Communication,EX03,11,20,1
S089,ST2,Clinical examination,Clinical skill,EX07,7,20,1
S089,ST3,Procedure: IV access,Procedural skill,EX07,7,20,1
S089,ST4,Counselling,Communication,EX05,9,20,1
S089,ST5,Data interpretation,Cognitive,EX07,9,20,1
S090,ST1,History taking,Communication,EX02,11,20,1
S090,ST2,Clinical examination,Clinical skill,EX08,6,20,1
S090,ST3,Procedure: IV access,Procedural skill,EX09,7,20,1
S090,ST4,Counselling,Communication,EX09,5,20,1
S090,ST5,Data interpretation,Cognitive,EX02,9,20,1
S091,ST1,History taking,Communication,EX11,10,20,1
S091,ST2,Clinical examination,Clinical skill,EX05,5,20,1
S091,ST3,Procedure: IV access,Procedural skill,EX02,10,20,1
S091,ST4,Counselling,Communication,EX01,10,20,1
S091,ST5,Data interpretation,Cognitive,EX10,10,20,1
S092,ST1,History taking,Communication,EX03,10,20,1
S092,ST2,Clinical examination,Clinical skill,EX01,10,20,1
S092,ST3,Procedure: IV access,Procedural skill,EX07,6,20,1
S092,ST4,Counselling,Communication,EX11,10,20,1
S092,ST5,Data interpretation,Cognitive,EX06,5,20,1
S093,ST1,History taking,Communication,EX06,10,20,1
S093,ST2,Clinical examination,Clinical skill,EX07,4,20,1
S093,ST3,Procedure: IV access,Procedural skill,EX05,5,20,1
S093,ST4,Counselling,Communication,EX10,7,20,1
S093,ST5,Data interpretation,Cognitive,EX04,7,20,1
S094,ST1,History taking,Communication,EX06,9,20,1
S094,ST2,Clinical examination,Clinical skill,EX03,8,20,1
S094,ST3,Procedure: IV access,Procedural skill,EX08,8,20,1
S094,ST4,Counselling,Communication,EX05,8,20,1
S094,ST5,Data interpretation,Cognitive,EX11,4,20,1
S095,ST1,History taking,Communication,EX06,12,20,1
S095,ST2,Clinical examination,Clinical skill,EX05,8,20,1
S095,ST3,Procedure: IV access,Procedural skill,EX06,3,20,1
S095,ST4,Counselling,Communication,EX08,8,20,1
S095,ST5,Data interpretation,Cognitive,EX01,6,20,1
S096,ST1,History taking,Communication,EX03,8,20,1
S096,ST2,Clinical examination,Clinical skill,EX09,11,20,1
S096,ST3,Procedure: IV access,Procedural skill,EX11,8,20,1
S096,ST4,Counselling,Communication,EX05,6,20,1
S096,ST5,Data interpretation,Cognitive,EX05,8,20,1
S097,ST1,History taking,Communication,EX12,7,20,1
