student_id,batch,college,sex,age,rural_background,teaching_arm,admission_score,attendance_pct,pretest,posttest,gain,study_hours,burnout_score,burnout_band,satisfaction,passed
S015,2023,"Govt Medical College, Kozhikode",Male,22,Rural,Traditional lecture,81.4,88.1,51.8,64.3,12.5,5.6,37.3,Moderate,5,Yes
S016,2023,"Govt Medical College, Alappuzha",Male,20,Urban,Traditional lecture,69.5,80.3,57.8,69.8,12,7.4,49.7,Moderate,4,Yes
S017,2024,"Govt Medical College, Kozhikode",Female,20,Rural,Traditional lecture,63.7,81.9,58.8,74.6,15.8,13.2,62.2,High,4,Yes
S018,2023,"Govt Medical College, Thrissur",Male,23,Rural,Traditional lecture,81.1,68.3,55,65.6,10.6,9.1,38.8,Moderate,3,Yes
S019,2023,"Govt Medical College, Kozhikode",Male,23,Urban,Traditional lecture,63.4,87.3,59,69.8,10.8,23.3,57.3,Moderate,3,Yes
S020,2022,"Govt Medical College, Alappuzha",Male,21,Rural,Traditional lecture,48.7,87.5,51.9,60.1,8.2,5.2,47.6,Moderate,4,Yes
S021,2022,"Govt Medical College, Kozhikode",Female,21,Urban,Traditional lecture,55.9,76.8,59.2,59,-0.2,12.9,44.3,Moderate,4,Yes
S022,2023,"Govt Medical College, Thrissur",Male,21,Urban,Flipped classroom,52.5,89.7,48.2,69.5,21.3,5.8,50,Moderate,5,Yes
S023,2024,"Govt Medical College, Alappuzha",Female,21,Urban,Flipped classroom,71.4,90.4,55.6,72.4,16.8,10.7,37.3,Moderate,4,Yes
S024,2023,"Govt Medical College, Kozhikode",Male,23,Urban,Traditional lecture,51.8,95.4,67.9,67.5,-0.4,5.1,51.9,Moderate,4,Yes
S025,2023,"Govt Medical College, Thrissur",Female,21,Urban,Flipped classroom,78.7,83.3,64.2,81.6,17.4,18.5,46.1,Moderate,4,Yes
S026,2023,"Govt Medical College, Thrissur",Male,22,Urban,Flipped classroom,48.7,100,45.4,69.8,24.4,15.9,28.9,Low,4,Yes
S027,2023,"Govt Medical College, Kozhikode",Male,21,Urban,Flipped classroom,56.9,63.8,54.6,70.6,16,23.3,62,High,3,Yes
S028,2022,"Govt Medical College, Alappuzha",Male,22,Urban,Flipped classroom,66.5,76.8,60.8,76.5,15.7,10.5,55,Moderate,3,Yes
S029,2024,"Govt Medical College, Alappuzha",Female,21,Urban,Flipped classroom,52.9,97.2,47.7,59.9,12.2,3.6,45.1,Moderate,5,Yes
S030,2024,"Govt Medical College, Kozhikode",Male,22,Rural,Flipped classroom,51.2,94.2,48.4,65,16.6,15.8,46.5,Moderate,4,Yes
S031,2022,"Govt Medical College, Alappuzha",Male,20,Rural,Flipped classroom,72.5,92.1,56.5,72.3,15.8,6.5,17,Low,3,Yes
S032,2022,"Govt Medical College, Kozhikode",Male,21,Rural,Flipped classroom,74.6,77.4,72.4,87.7,15.3,8.4,38.6,Moderate,3,Yes
S033,2023,"Govt Medical College, Alappuzha",Male,20,Urban,Traditional lecture,49.5,81.2,47.6,59.9,12.3,9.3,50.3,Moderate,5,Yes
S034,2024,"Govt Medical College, Kozhikode",Male,19,Rural,Traditional lecture,48.9,85.5,56.7,60.4,3.7,14.2,54.7,Moderate,5,Yes
S035,2023,"Govt Medical College, Kozhikode",Female,21,Rural,Flipped classroom,60.6,82.3,58.8,85.3,26.5,14.4,44.1,Moderate,2,Yes
S036,2024,"Govt Medical College, Kozhikode",Female,23,Urban,Flipped classroom,74.3,62,72.5,86.4,13.9,10.6,51.7,Moderate,3,Yes
S037,2024,"Govt Medical College, Alappuzha",Male,19,Urban,Traditional lecture,81.9,80.8,67.2,81.9,14.7,8.7,51.6,Moderate,3,Yes
S038,2022,"Govt Medical College, Kozhikode",Female,22,Urban,Flipped classroom,61.1,72.1,57,74.9,17.9,10.8,52,Moderate,4,Yes
S039,2024,"Govt Medical College, Kozhikode",Female,21,Rural,Flipped classroom,83.5,64.8,73.8,84.4,10.6,15.7,59,Moderate,2,Yes
S040,2023,"Govt Medical College, Thrissur",Male,23,Urban,Flipped classroom,58.6,91.2,58,74.2,16.2,7,44.7,Moderate,2,Yes
S041,2024,"Govt Medical College, Thrissur",Female,23,Rural,Flipped classroom,69.9,69.7,66.3,84.8,18.5,15,51.5,Moderate,5,Yes
S042,2023,"Govt Medical College, Alappuzha",Female,21,Rural,Traditional lecture,65.5,88.8,58.8,71.7,12.9,4.1,41.8,Moderate,1,Yes
S043,2022,"Govt Medical College, Kozhikode",Female,18,Rural,Flipped classroom,81.8,79.7,88.3,100,11.7,6.9,51.7,Moderate,4,Yes
S044,2024,"Govt Medical College, Thrissur",Male,22,Urban,Flipped classroom,69.9,77.4,48,66.3,18.3,14.2,42.8,Moderate,4,Yes
S045,2024,"Govt Medical College, Kozhikode",Male,23,Rural,Traditional lecture,74.4,83.5,60.9,77.2,16.3,6.1,64.9,High,5,Yes
S046,2022,"Govt Medical College, Thrissur",Female,22,Urban,Flipped classroom,49.6,91.7,57.3,79.1,21.8,5.9,46.6,Moderate,5,Yes
S047,2023,"Govt Medical College, Kozhikode",Male,21,Rural,Flipped classroom,59.2,87.2,60.6,75.4,14.8,17.4,NA,NA,4,Yes
S048,2022,"Govt Medical College, Kozhikode",Male,23,Urban,Flipped classroom,71.5,77.1,64.3,84.4,20.1,2.9,48.1,Moderate,3,Yes
S049,2024,"Govt Medical College, Kozhikode",Male,23,Rural,Traditional lecture,58.1,76.5,47.5,54.4,6.9,12.1,50.5,Moderate,4,Yes
S050,2023,"Govt Medical College, Alappuzha",Female,19,Urban,Traditional lecture,79.2,83.6,69,74.1,5.1,11,86.2,High,1,Yes
S051,2024,"Govt Medical College, Alappuzha",Male,21,Urban,Traditional lecture,66.8,80.2,65.2,63.6,-1.6,4.3,44.6,Moderate,1,Yes
S052,2022,"Govt Medical College, Kozhikode",Female,22,Rural,Flipped classroom,71.8,93.6,61.5,78.2,16.7,11.3,49.6,Moderate,2,Yes
S053,2024,"Govt Medical College, Thrissur",Female,20,Rural,Traditional lecture,70.2,91.5,74,86.4,12.4,3.3,66,High,5,Yes
S054,2024,"Govt Medical College, Thrissur",Female,20,Urban,Traditional lecture,65.8,85.5,62,70.4,8.4,7.4,45,Moderate,4,Yes
S055,2023,"Govt Medical College, Kozhikode",Female,23,Rural,Flipped classroom,64.1,72.7,62.1,67.4,5.3,15.6,55.5,Moderate,4,Yes
S056,2022,"Govt Medical College, Kozhikode",Male,20,Rural,Traditional lecture,78.6,70,68.1,80.8,12.7,16.6,72.1,High,4,Yes
S057,2024,"Govt Medical College, Kozhikode",Male,21,Rural,Traditional lecture,68,96.7,52.1,60.7,8.6,5.2,47.5,Moderate,3,Yes
S058,2023,"Govt Medical College, Thrissur",Male,23,Urban,Traditional lecture,64.1,74.5,62.1,67.1,5,12,39.4,Moderate,4,Yes
S059,2022,"Govt Medical College, Kozhikode",Female,23,Urban,Flipped classroom,73.1,80.7,55.3,69,13.7,7.6,43.3,Moderate,2,Yes
S060,2024,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,65,85.9,53.3,60.4,7.1,14.9,44,Moderate,2,Yes
S061,2022,"Govt Medical College, Thrissur",Female,23,Urban,Flipped classroom,94,76.6,73.3,92.3,19,14.3,58.4,Moderate,3,Yes
S062,2023,"Govt Medical College, Thrissur",Male,21,Rural,Traditional lecture,58.7,82.4,42.1,56.9,14.8,7.9,45.2,Moderate,3,Yes
S063,2023,"Govt Medical College, Alappuzha",Female,21,Urban,Flipped classroom,79.6,83.3,62.9,83.6,20.7,10.8,34.4,Low,2,Yes
S064,2023,"Govt Medical College, Thrissur",Male,21,Rural,Flipped classroom,67.3,89.8,59.4,71.1,11.7,16.6,49.5,Moderate,3,Yes
S065,2024,"Govt Medical College, Thrissur",Female,24,Rural,Flipped classroom,77.9,83.5,73.1,95.4,22.3,12.2,44.6,Moderate,5,Yes
S066,2023,"Govt Medical College, Alappuzha",Female,20,Urban,Flipped classroom,68.3,77,56.1,73.9,17.8,9.9,66.9,High,2,Yes
S067,2022,"Govt Medical College, Kozhikode",Female,22,Urban,Traditional lecture,72.6,94.6,59.6,69.6,10,12.9,34.9,Low,2,Yes
S068,2022,"Govt Medical College, Alappuzha",Male,20,Urban,Traditional lecture,55.8,80,54.9,NA,NA,5.7,69.9,High,4,No
S069,2024,"Govt Medical College, Kozhikode",Female,22,Rural,Flipped classroom,57.6,90.4,51.1,65.3,14.2,12.5,46.5,Moderate,3,Yes
S070,2024,"Govt Medical College, Thrissur",Male,21,Urban,Traditional lecture,61.1,90.8,65.1,67.1,2,11.1,39.9,Moderate,3,Yes
S071,2024,"Govt Medical College, Kozhikode",Male,19,Urban,Traditional lecture,62.9,86.4,60.6,75.7,15.1,7.9,55.4,Moderate,5,Yes
S072,2023,"Govt Medical College, Thrissur",Female,21,Rural,Traditional lecture,57.4,95,52.3,61.6,9.3,8.4,24.5,Low,5,Yes
S073,2023,"Govt Medical College, Alappuzha",Female,20,Rural,Flipped classroom,73,96.3,55.7,NA,NA,16.9,43,Moderate,4,No
S074,2023,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,43.7,80.2,62.9,72.7,9.8,6.6,43.7,Moderate,5,Yes
S075,2022,"Govt Medical College, Alappuzha",Male,19,Rural,Flipped classroom,66.8,81.2,56.6,70.1,13.5,9.6,26.9,Low,3,Yes
S076,2024,"Govt Medical College, Alappuzha",Female,23,Rural,Traditional lecture,69.5,89.7,64.7,80.5,15.8,12.7,34.9,Low,4,Yes
S077,2022,"Govt Medical College, Thrissur",Male,19,Rural,Traditional lecture,58.7,79.8,48.6,61.4,12.8,12.8,65.8,High,5,Yes
S078,2022,"Govt Medical College, Kozhikode",Male,21,Rural,Flipped classroom,59.3,90.2,66.2,86,19.8,4.4,27.2,Low,4,Yes
S079,2024,"Govt Medical College, Kozhikode",Male,22,Urban,Flipped classroom,63.3,87.7,58.2,74.7,16.5,17.5,47.8,Moderate,3,Yes
S080,2023,"Govt Medical College, Alappuzha",Female,23,Urban,Traditional lecture,65.2,82.2,64.2,69.2,5,11.2,61.5,High,1,Yes
S081,2024,"Govt Medical College, Alappuzha",Male,22,Urban,Traditional lecture,65.3,75.9,72.7,89.6,16.9,3.6,59.1,Moderate,3,Yes
S082,2023,"Govt Medical College, Thrissur",Female,21,Rural,Traditional lecture,80.9,85,59,73.5,14.5,5.8,48.2,Moderate,1,Yes
S083,2024,"Govt Medical College, Kozhikode",Male,22,Rural,Flipped classroom,75.5,87.1,56.5,70.4,13.9,7.9,64.2,High,4,Yes
S084,2023,"Govt Medical College, Kozhikode",Female,20,Urban,Traditional lecture,68.2,79,66,74.3,8.3,11.8,62.1,High,3,Yes
S085,2024,"Govt Medical College, Alappuzha",Male,20,Urban,Flipped classroom,56,82.9,62.3,82.7,20.4,5,47.1,Moderate,2,Yes
S086,2022,"Govt Medical College, Kozhikode",Female,22,Urban,Traditional lecture,55.3,73,56.9,67.6,10.7,12.2,42.7,Moderate,3,Yes
S087,2023,"Govt Medical College, Thrissur",Female,21,Urban,Flipped classroom,75.4,70.6,61.7,73.2,11.5,7.8,57.9,Moderate,3,Yes
S088,2023,"Govt Medical College, Thrissur",Female,23,Urban,Flipped classroom,68,76.1,67,79.8,12.8,13.7,53.5,Moderate,3,Yes
S089,2022,"Govt Medical College, Alappuzha",Male,22,Urban,Flipped classroom,56.5,84,60.2,82.2,22,4.5,45.3,Moderate,5,Yes
S090,2022,"Govt Medical College, Alappuzha",Female,21,Urban,Traditional lecture,64,81.1,61.4,71.9,10.5,5.3,43.4,Moderate,3,Yes
S091,2024,"Govt Medical College, Kozhikode",Male,24,Rural,Traditional lecture,79.2,90.9,56.2,68.9,12.7,8.8,NA,NA,5,Yes
S092,2023,"Govt Medical College, Alappuzha",Female,22,Urban,Traditional lecture,57.4,89.1,50.8,60.5,9.7,8.6,53.2,Moderate,3,Yes
S093,2023,"Govt Medical College, Alappuzha",Male,23,Rural,Flipped classroom,59.2,76.9,54.1,71.9,17.8,7.6,56.2,Moderate,1,Yes
S094,2024,"Govt Medical College, Thrissur",Male,24,Rural,Traditional lecture,65.6,80.8,55.4,60.2,4.8,8.9,47.1,Moderate,2,Yes
S095,2023,"Govt Medical College, Alappuzha",Male,23,Urban,Traditional lecture,68.3,82.3,68.8,72,3.2,10.8,50.4,Moderate,1,Yes
S096,2023,"Govt Medical College, Alappuzha",Female,20,Rural,Flipped classroom,67.7,83.3,64,86.9,22.9,13.9,65,High,1,Yes
S097,2022,"Govt Medical College, Kozhikode",Male,22,Rural,Traditional lecture,67.7,83.9,66.6,71.2,4.6,6,47.6,Moderate,2,Yes
S098,2022,"Govt Medical College, Thrissur",Female,23,Urban,Flipped classroom,61.5,71.1,50.2,60.6,10.4,16,46.6,Moderate,3,Yes
S099,2023,"Govt Medical College, Thrissur",Male,20,Rural,Traditional lecture,79.3,92.6,75.9,90.1,14.2,10.2,59.4,Moderate,2,Yes
S100,2024,"Govt Medical College, Alappuzha",Male,22,Urban,Flipped classroom,53.3,63.6,63.6,82,18.4,13.6,55,Moderate,3,Yes
S101,2024,"Govt Medical College, Kozhikode",Female,25,Urban,Traditional lecture,70.5,70.9,54.6,68.7,14.1,7.9,47.2,Moderate,4,Yes
S102,2022,"Govt Medical College, Alappuzha",Male,21,Rural,Traditional lecture,70.1,79.4,57,69.5,12.5,12.2,NA,NA,4,Yes
S103,2024,"Govt Medical College, Kozhikode",Female,20,Urban,Flipped classroom,42.5,81.6,52.4,71.3,18.9,6.3,40.3,Moderate,2,Yes
S104,2024,"Govt Medical College, Kozhikode",Male,23,Rural,Flipped classroom,61.4,80.9,55.7,71.2,15.5,7.8,45.3,Moderate,2,Yes
S105,2023,"Govt Medical College, Thrissur",Female,19,Urban,Traditional lecture,65.2,86.4,48.8,61.3,12.5,9.1,57.9,Moderate,3,Yes
S106,2022,"Govt Medical College, Kozhikode",Male,23,Rural,Traditional lecture,56.2,82.7,50.4,NA,NA,3.8,12.5,Low,4,No
S107,2024,"Govt Medical College, Kozhikode",Female,19,Rural,Traditional lecture,82.4,75.8,71.1,84.6,13.5,19.7,41.7,Moderate,4,Yes
S108,2022,"Govt Medical College, Thrissur",Male,17,Rural,Flipped classroom,83.1,80.7,60.9,77.4,16.5,23.6,43.5,Moderate,3,Yes
S109,2023,"Govt Medical College, Alappuzha",Female,23,Urban,Flipped classroom,55.1,72.4,66,84.6,18.6,16.4,35.4,Moderate,4,Yes
S110,2023,"Govt Medical College, Thrissur",Female,22,Urban,Flipped classroom,73.8,86,63.7,89.8,26.1,10.4,55,Moderate,4,Yes
S111,2023,"Govt Medical College, Thrissur",Female,21,Rural,Flipped classroom,66.9,91.7,57.9,NA,NA,5.4,54.1,Moderate,3,No
S112,2023,"Govt Medical College, Alappuzha",Female,20,Rural,Traditional lecture,63.2,65.1,56.8,64.2,7.4,13.3,49.8,Moderate,4,Yes
S113,2022,"Govt Medical College, Thrissur",Male,19,Rural,Flipped classroom,71.8,75.5,55.3,69.2,13.9,4.8,48.7,Moderate,4,Yes
S114,2023,"Govt Medical College, Kozhikode",Male,23,Urban,Traditional lecture,79,77.8,52.3,64.3,12,19.8,26.3,Low,3,Yes
S115,2024,"Govt Medical College, Alappuzha",Male,22,Urban,Flipped classroom,75.2,77.6,82.8,100,17.2,8.2,54.2,Moderate,3,Yes
S116,2024,"Govt Medical College, Kozhikode",Female,24,Urban,Traditional lecture,72,85.4,59.8,71.5,11.7,7.7,52.5,Moderate,4,Yes
S117,2022,"Govt Medical College, Alappuzha",Female,19,Rural,Traditional lecture,58.4,77.6,55,66.8,11.8,11.1,66.5,High,4,Yes
S118,2024,"Govt Medical College, Thrissur",Male,21,Urban,Flipped classroom,65.2,79.1,61.1,NA,NA,9.1,54.2,Moderate,1,No
S119,2024,"Govt Medical College, Kozhikode",Male,23,Rural,Traditional lecture,53.1,69.3,62.4,66.4,4,16.3,36,Moderate,5,Yes
S120,2023,"Govt Medical College, Kozhikode",Female,22,Urban,Flipped classroom,78.3,78.7,75.3,95.3,20,17.5,83.2,High,5,Yes
S121,2023,"Govt Medical College, Alappuzha",Female,23,Urban,Traditional lecture,89.3,89.3,66.4,80.1,13.7,12.6,40,Moderate,3,Yes
S122,2022,"Govt Medical College, Kozhikode",Male,21,Rural,Traditional lecture,65.8,77.7,61.5,73.1,11.6,8.7,50.2,Moderate,5,Yes
S123,2022,"Govt Medical College, Kozhikode",Female,21,Rural,Traditional lecture,73.3,80.3,72.3,83.7,11.4,6.7,61.7,High,3,Yes
S124,2024,"Govt Medical College, Alappuzha",Male,21,Urban,Traditional lecture,91.6,91,90,100,10,15.1,37.8,Moderate,4,Yes
S125,2023,"Govt Medical College, Alappuzha",Female,18,Urban,Traditional lecture,84.5,68.5,52.6,60.4,7.8,10.7,36.2,Moderate,3,Yes
S126,2022,"Govt Medical College, Alappuzha",Male,22,Rural,Traditional lecture,66,71.6,57.8,65.9,8.1,7.1,61.9,High,3,Yes
S127,2023,"Govt Medical College, Kozhikode",Male,23,Urban,Flipped classroom,73.2,89.9,52.3,73.3,21,26.8,48.2,Moderate,4,Yes
S128,2024,"Govt Medical College, Thrissur",Female,19,Rural,Traditional lecture,64.1,82.2,62.3,71.6,9.3,16.8,46.9,Moderate,4,Yes
S129,2024,"Govt Medical College, Thrissur",Female,22,Urban,Traditional lecture,76.3,73.9,67.7,75.2,7.5,4,67.7,High,3,Yes
S130,2024,"Govt Medical College, Alappuzha",Male,20,Rural,Traditional lecture,66.9,80.4,65.8,80.8,15,5.1,32.6,Low,5,Yes
S131,2023,"Govt Medical College, Thrissur",Male,20,Rural,Flipped classroom,86.4,76.1,70.9,80.4,9.5,11.5,45.8,Moderate,5,Yes
S132,2024,"Govt Medical College, Kozhikode",Male,22,Rural,Flipped classroom,54,75.5,48.2,59.2,11,7.2,35.5,Moderate,4,Yes
S133,2023,"Govt Medical College, Thrissur",Male,21,Urban,Flipped classroom,58.5,60.3,62.9,69.4,6.5,15.4,87.5,High,4,Yes
S134,2024,"Govt Medical College, Kozhikode",Male,23,Urban,Flipped classroom,58.1,85.2,55.4,67.2,11.8,4.4,56,Moderate,3,Yes
S135,2023,"Govt Medical College, Alappuzha",Female,20,Urban,Traditional lecture,59.9,85.1,59.7,65.6,5.9,11.2,44.5,Moderate,4,Yes
S136,2023,"Govt Medical College, Thrissur",Male,22,Urban,Traditional lecture,64,92.3,68.7,85.4,16.7,20.6,41.3,Moderate,4,Yes
S137,2024,"Govt Medical College, Thrissur",Female,21,Urban,Flipped classroom,66.5,71,57.6,77.8,20.2,10,38.8,Moderate,5,Yes
S138,2024,"Govt Medical College, Thrissur",Male,20,Urban,Traditional lecture,68.7,66.9,58.8,64.6,5.8,18.1,67.2,High,3,Yes
S139,2024,"Govt Medical College, Alappuzha",Female,20,Urban,Traditional lecture,70,92.8,57.2,64.7,7.5,4.1,43.7,Moderate,5,Yes
S140,2023,"Govt Medical College, Thrissur",Female,21,Rural,Flipped classroom,30.6,94.1,36.2,57.9,21.7,6.1,51.2,Moderate,3,Yes
S141,2022,"Govt Medical College, Alappuzha",Male,21,Rural,Flipped classroom,75.3,82.5,68.6,82.7,14.1,9.9,36.2,Moderate,3,Yes
S142,2022,"Govt Medical College, Thrissur",Male,21,Rural,Traditional lecture,73.3,73.6,62.6,74.2,11.6,10.3,51.5,Moderate,5,Yes
S143,2022,"Govt Medical College, Alappuzha",Male,21,Urban,Traditional lecture,51.4,85,52.7,62.4,9.7,10.6,42.6,Moderate,5,Yes
S144,2023,"Govt Medical College, Alappuzha",Male,22,Urban,Flipped classroom,73.6,95.2,75.2,89.7,14.5,7.7,29.6,Low,2,Yes
S145,2022,"Govt Medical College, Alappuzha",Female,22,Rural,Traditional lecture,69.3,63.4,56,73.5,17.5,10.1,46.4,Moderate,4,Yes
S146,2024,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,81,71,71.8,76.9,5.1,11.2,64.8,High,4,Yes
S147,2022,"Govt Medical College, Thrissur",Female,24,Urban,Flipped classroom,67.8,77.1,47.6,66.2,18.6,5.9,36.5,Moderate,4,Yes
S148,2024,"Govt Medical College, Alappuzha",Female,20,Rural,Flipped classroom,59.9,73.4,56,76.5,20.5,12,58.8,Moderate,3,Yes
S149,2022,"Govt Medical College, Alappuzha",Female,20,Urban,Traditional lecture,71.4,71.3,66.4,80.7,14.3,9.9,NA,NA,4,Yes
S150,2023,"Govt Medical College, Thrissur",Female,22,Urban,Flipped classroom,67.2,62.8,54.9,61.9,7,9.3,59.1,Moderate,2,Yes
S151,2024,"Govt Medical College, Kozhikode",Female,21,Urban,Traditional lecture,69,96.1,62.6,81.9,19.3,13.2,42.6,Moderate,3,Yes
S152,2022,"Govt Medical College, Thrissur",Female,21,Rural,Traditional lecture,70.1,89,54.4,66.9,12.5,4.6,30.3,Low,3,Yes
S153,2024,"Govt Medical College, Alappuzha",Male,22,Urban,Flipped classroom,79.9,62.5,56.8,70.7,13.9,9.9,51.5,Moderate,3,Yes
S154,2023,"Govt Medical College, Kozhikode",Male,21,Rural,Flipped classroom,59.6,100,60.5,77,16.5,10.8,61.4,High,4,Yes
S155,2022,"Govt Medical College, Alappuzha",Male,21,Urban,Flipped classroom,73,92,54.4,70.3,15.9,2.5,61.5,High,2,Yes
S156,2022,"Govt Medical College, Alappuzha",Male,21,Urban,Traditional lecture,64.4,79.3,65.5,72.6,7.1,9.7,41.7,Moderate,4,Yes
S157,2024,"Govt Medical College, Thrissur",Female,23,Rural,Flipped classroom,45,74.1,59.7,78.3,18.6,8.7,45.6,Moderate,4,Yes
S158,2023,"Govt Medical College, Alappuzha",Female,20,Rural,Traditional lecture,60.1,87,44.8,52.4,7.6,8.7,31.2,Low,4,Yes
S159,2022,"Govt Medical College, Kozhikode",Female,21,Urban,Traditional lecture,84.5,68.1,67.5,75.6,8.1,11.2,56.6,Moderate,4,Yes
S160,2023,"Govt Medical College, Alappuzha",Female,22,Urban,Traditional lecture,62.6,64,62.1,72.1,10,2.2,51.2,Moderate,3,Yes
S161,2022,"Govt Medical College, Thrissur",Female,22,Urban,Traditional lecture,68.5,81.6,64.9,73.2,8.3,13.2,NA,NA,3,Yes
S162,2022,"Govt Medical College, Thrissur",Female,23,Urban,Traditional lecture,53,76.3,49.7,NA,NA,8,43.8,Moderate,3,No
S163,2022,"Govt Medical College, Kozhikode",Male,21,Urban,Flipped classroom,60,75.5,49.6,64.9,15.3,16,44,Moderate,5,Yes
S164,2022,"Govt Medical College, Kozhikode",Female,23,Rural,Flipped classroom,90.3,95.4,73.7,84.4,10.7,5.5,44.2,Moderate,3,Yes
S165,2022,"Govt Medical College, Kozhikode",Male,21,Urban,Traditional lecture,63.2,76.9,47.1,60.9,13.8,4.5,53.5,Moderate,5,Yes
S166,2024,"Govt Medical College, Thrissur",Female,21,Rural,Flipped classroom,58.7,82.1,60.3,78.5,18.2,8,38.3,Moderate,5,Yes
S167,2022,"Govt Medical College, Thrissur",Male,21,Rural,Flipped classroom,90.7,81.7,72.6,93.7,21.1,9.8,50.3,Moderate,4,Yes
S168,2023,"Govt Medical College, Thrissur",Female,20,Rural,Flipped classroom,75,79.3,65.8,80.5,14.7,10.2,49.9,Moderate,1,Yes
S169,2023,"Govt Medical College, Kozhikode",Female,19,Urban,Flipped classroom,68.5,91.1,63,77,14,5.2,51.8,Moderate,5,Yes
S170,2022,"Govt Medical College, Thrissur",Male,23,Rural,Traditional lecture,70.6,83.7,61.4,59,-2.4,15.1,64.5,High,3,Yes
S171,2024,"Govt Medical College, Kozhikode",Male,21,Rural,Flipped classroom,67.1,74.9,55.2,78.4,23.2,7.2,49.6,Moderate,4,Yes
S172,2024,"Govt Medical College, Thrissur",Female,21,Urban,Traditional lecture,69.7,74.3,55.6,65.5,9.9,6.5,52.6,Moderate,3,Yes
S173,2023,"Govt Medical College, Kozhikode",Male,21,Rural,Traditional lecture,60.6,93.7,57,66.3,9.3,4.5,50.1,Moderate,3,Yes
S174,2022,"Govt Medical College, Kozhikode",Female,20,Rural,Flipped classroom,61.5,94.3,62.3,82.7,20.4,9.4,52.8,Moderate,4,Yes
S175,2024,"Govt Medical College, Thrissur",Male,21,Rural,Flipped classroom,55.3,74.8,48.9,NA,NA,8.2,53.1,Moderate,3,No
S176,2023,"Govt Medical College, Kozhikode",Male,22,Urban,Traditional lecture,49.3,86,52.8,61.9,9.1,7.1,66.8,High,5,Yes
S177,2022,"Govt Medical College, Thrissur",Female,23,Rural,Traditional lecture,77.4,81.9,69.5,74.3,4.8,6.5,28.6,Low,4,Yes
S178,2024,"Govt Medical College, Kozhikode",Male,21,Urban,Traditional lecture,63.7,70.5,44.5,54.5,10,6,51.3,Moderate,4,Yes
S179,2024,"Govt Medical College, Kozhikode",Female,22,Urban,Traditional lecture,67.5,99.5,52.7,54.5,1.8,7.4,35.1,Moderate,3,Yes
S180,2023,"Govt Medical College, Kozhikode",Female,21,Rural,Flipped classroom,40.2,77.6,55.2,73.4,18.2,5.4,59.2,Moderate,4,Yes
S181,2022,"Govt Medical College, Thrissur",Female,22,Urban,Traditional lecture,73.4,86.5,78.5,93.9,15.4,6.5,43.6,Moderate,1,Yes
S182,2022,"Govt Medical College, Kozhikode",Male,22,Urban,Flipped classroom,77.1,83.7,60.6,84.2,23.6,6,49.7,Moderate,4,Yes
S183,2022,"Govt Medical College, Alappuzha",Female,21,Rural,Flipped classroom,69.3,73.9,63.7,70.6,6.9,3.6,40.3,Moderate,4,Yes
S184,2022,"Govt Medical College, Thrissur",Male,23,Rural,Traditional lecture,78.8,59.4,59,67.2,8.2,9.6,77.6,High,1,Yes
