Timestamp,Respondent ID,Department ,Years of Experience,Ever used R?,Confidence with stats (1-10),Q1: I can reproduce my own analysis six months later,Q2: I keep raw and cleaned data separate,Q3: I would use AI tools to draft analysis code,Hours spent on data cleaning per paper,Comments
14/03/2026,F100,Paediatrics,13,N,1,Disagree,Neutral,Strongly agree,unknown,NA
2026/03/15,F008,Medical Education Unit,12,no,6,Disagree,Agree,Strongly agree,40,Please share slides
2026/03/15,F101,Pediatrics,12,no,9,Strongly disagree,Neutral,Strongly disagree,20,Please share slides
14/03/2026,F095,Community Medicine,9,No,9,Agree,Agree,Agree,2,Very useful
2026-03-14,F106, Anatomy,14,No,6,Neutral,Disagree,Agree,NA,-
2026/03/15,F012,Medical Education Unit,6,No,2,Agree,Disagree,Neutral,,  needs more hands on time  
2026/03/15,F044,Pediatrics,10,no,9,Strongly disagree,Neutral,Strongly agree,10,Would like a follow up session
14-03-2026,F065,Physiology,5,N,9,Agree,Agree,Agree,unknown,Would like a follow up session
14-03-2026,F010,Physiology,13,no,5,Disagree,Disagree,Agree,20,-
14/03/2026,F002,Community Medicine,3,No,4,Strongly disagree,Agree,Strongly agree,2,  needs more hands on time  
2026/03/15,F072,Community Medicine,15,No,10,Agree,Agree,Agree,20,-
2026-03-14,F106, Anatomy,14,No,6,Neutral,Disagree,Agree,NA,-
2026-03-14,F003, Anatomy,5,Yes,4,Strongly agree,Disagree,Neutral,20,Would like a follow up session
2026-03-14,F033,Pediatrics,4,No,1,Agree,Strongly agree,Agree,,Would like a follow up session
2026-03-14,F099,Physiology,16,No,9,Strongly disagree,Neutral,Strongly disagree,10,
2026-03-14,F112,Physiology,4,N,4,Agree,Agree,Strongly agree,2,Please share slides
14-03-2026,F066,Pediatrics,11,No,4,Neutral,Neutral,Agree,2,Very useful
14/03/2026,F031, Anatomy,7,No,7,Strongly disagree,Neutral,Agree,20,
14-03-2026,F014,community medicine,7,,8,Agree,Disagree,Neutral,NA,Please share slides
14-03-2026,F053,Community Medicine,13,No,9,Agree,Neutral,Strongly disagree,20,
14/03/2026,F114,Paediatrics,14,N,7,Neutral,Strongly agree,Neutral,40,
14-03-2026,F074,Physiology,20,no,4,Strongly disagree,Neutral,Agree,2,  needs more hands on time  
2026-03-14,F049, Anatomy,22,no,6,Neutral,Disagree,Neutral,unknown,-
14/03/2026,F013,Medical Education Unit,19,Yes,7,Disagree,Agree,Strongly disagree,,  needs more hands on time  
2026/03/15,F091,Paediatrics,6,N,6,Strongly disagree,Neutral,Agree,20,NA
14/03/2026,F018,Medical Education Unit,16,No,3,Neutral,Agree,Disagree,NA,-
2026/03/15,F110,Community Medicine,7,Yes,2,Agree,Strongly agree,Disagree,,NA
2026/03/15,F011,Pediatrics,5,Yes,7,Neutral,Strongly disagree,Agree,10,Please share slides
14/03/2026,F017,Community Medicine,7,No,4,Strongly disagree,Disagree,Neutral,20,  needs more hands on time  
2026/03/15,F020, Anatomy,8,No,9,Agree,Disagree,Strongly agree,10,  needs more hands on time  
2026/03/15,F058,Community Medicine,10,No,3,Disagree,Strongly agree,Strongly agree,2,Would like a follow up session
14/03/2026,F105,community medicine,9,no,3,Strongly disagree,Strongly disagree,Strongly disagree,unknown,-
2026/03/15,F069, Anatomy,8,No,6,Agree,Neutral,Agree,,  needs more hands on time  
14/03/2026,F051,Physiology,10,No,6,Strongly agree,Agree,Disagree,NA,  needs more hands on time  
2026-03-14,F070,Paediatrics,3,yes,6,Strongly disagree,Neutral,Agree,5,
14-03-2026,F118,Physiology,6,No,5,Disagree,Disagree,Strongly disagree,20,
14/03/2026,F047,Pediatrics,12,No,2,Disagree,Disagree,Agree,40,Please share slides
2026-03-14,F026, Anatomy,12,Yes,2,Strongly agree,Neutral,Neutral,NA,
2026/03/15,F104,community medicine,9,,3,Strongly disagree,Agree,Neutral,2,Would like a follow up session
2026/03/15,F029,Medical Education Unit,5,yes,2,Agree,Neutral,Neutral,,Very useful
2026-03-14,F024,Medical Education Unit,5,No,7,Neutral,Strongly disagree,Disagree,2,Would like a follow up session
2026/03/15,F012,Medical Education Unit,6,No,2,Agree,Disagree,Neutral,,  needs more hands on time  
14-03-2026,F113,Medical Education Unit,14,No,10,Agree,Strongly agree,Strongly disagree,unknown,-
2026/03/15,F102,Medical Education Unit,13,Yes,7,Strongly disagree,Strongly agree,Agree,NA,Please share slides
14-03-2026,F078, Anatomy,11,yes,10,Neutral,Agree,Agree,2,-
2026/03/15,F076,Paediatrics,12,No,5,Disagree,Neutral,Disagree,unknown,  needs more hands on time  
14-03-2026,F046,Community Medicine,9,No,3,Strongly disagree,Agree,Agree,2,Very useful
2026/03/15,F115, Anatomy,8,,5,Agree,Disagree,Strongly agree,5,NA
2026-03-14,F068,Pediatrics,14,no,1,Agree,Agree,Disagree,2,  needs more hands on time  
14-03-2026,F056,Paediatrics,20,no,4,Strongly agree,Strongly disagree,Strongly agree,5,-
14/03/2026,F004,community medicine,19,N,8,Agree,Strongly disagree,Agree,5,Very useful
14-03-2026,F108,Pediatrics,7,yes,4,Strongly agree,Disagree,Neutral,40,Would like a follow up session
14-03-2026,F042,Paediatrics,10,Yes,2,Disagree,Neutral,Strongly agree,2,Very useful
2026/03/15,F085,Physiology,8,No,9,Agree,Agree,Agree,40,Very useful
2026/03/15,F079,Paediatrics,10,No,2,Disagree,Agree,Agree,10,  needs more hands on time  
2026-03-14,F081,Physiology,11,No,4,Agree,Disagree,Agree,10,NA
14/03/2026,F025,Medical Education Unit,4,No,7,Neutral,Disagree,Strongly disagree,10,Very useful
14-03-2026,F097,community medicine,12,yes,9,Strongly disagree,Agree,Strongly agree,5,Please share slides
14/03/2026,F116,Community Medicine,19,No,10,Disagree,Neutral,Agree,2,Please share slides
2026/03/15,F092,Medical Education Unit,23,No,3,Strongly agree,Strongly agree,Disagree,10,-
14/03/2026,F075,Physiology,7,no,4,Strongly agree,Agree,Neutral,2,-
14-03-2026,F035,Pediatrics,5,No,2,Disagree,Disagree,Neutral,2,  needs more hands on time  
14/03/2026,F087,Physiology,11,No,4,Strongly disagree,Neutral,Neutral,20,-
2026/03/15,F027,Medical Education Unit,27,No,4,Neutral,Agree,Disagree,unknown,  needs more hands on time  
2026/03/15,F096,Community Medicine,9,Yes,5,Agree,Strongly agree,Neutral,2,  needs more hands on time  
2026-03-14,F086,Physiology,12,No,10,Disagree,Strongly agree,Agree,NA,NA
14-03-2026,F055,Community Medicine,15,No,4,Disagree,Strongly disagree,Agree,unknown,  needs more hands on time  
14/03/2026,F023,Physiology,19,no,6,Neutral,Agree,Neutral,20,  needs more hands on time  
14-03-2026,F111,Paediatrics,6,No,8,Strongly disagree,Agree,Strongly agree,5,NA
2026/03/15,F022,Medical Education Unit,10,No,4,Disagree,Strongly agree,Agree,10,Very useful
2026-03-14,F036,Paediatrics,13,No,7,Neutral,Disagree,Neutral,20,Very useful
14/03/2026,F083,Medical Education Unit,18,no,7,Agree,Neutral,Neutral,40,NA
14-03-2026,F089,community medicine,10,yes,7,Strongly disagree,Strongly disagree,Agree,,NA
2026/03/15,F034,Paediatrics,10,No,3,Neutral,Neutral,Agree,40,
2026-03-14,F005,Pediatrics,4,yes,2,Neutral,Strongly disagree,Agree,20,-
14/03/2026,F120,Physiology,2,No,2,Neutral,Disagree,Strongly agree,20,Please share slides
14-03-2026,F006,Medical Education Unit,12,N,5,Neutral,Strongly disagree,Disagree,40,
14-03-2026,F040,community medicine,10,,6,Agree,Strongly disagree,Strongly disagree,NA,Very useful
2026/03/15,F045,community medicine,38,no,8,Strongly disagree,Strongly agree,Strongly disagree,,Very useful
2026-03-14,F084,Community Medicine,6,No,4,Agree,Strongly agree,Neutral,10,NA
2026/03/15,F077,Paediatrics,16,Yes,6,Strongly disagree,Disagree,Disagree,10,-
